"country" "year" "n" "c580y" "r539t" "all_kelch" "prev_580y" "prev_539t" "prev_all_kelch" "min_year" "nobs_c580y" "nobs_r539t" "nobs_kelch" "lrsmed_580y" "lrsmed_all_kelch" "lrsmed_539t" "adj_year" "wt_med_539t" "wt_med_580y" "wt_med_all_kelch"
"50" "Vietnam" 2010 113 2 0 18 0.0176991150442478 0 0.15929203539823 1999 8 2 11 -4.01638302075239 -1.66350513370438 NA 11 NA 1.9646017699115 15.1327433628319
"51" "Vietnam" 2011 129 8 6 35 0.062015503875969 0.0465116279069767 0.271317829457364 1999 8 2 11 -2.71634900391691 -0.98794672078059 -3.02042488614436 12 NA 7.50387596899225 25.5038759689923
"52" "Vietnam" 2012 195 1 0 68 0.00512820512820513 0 0.348717948717949 1999 8 2 11 -5.26785815906333 -0.624679381282485 NA 13 NA 0.994871794871795 44.2871794871795
"53" "Vietnam" 2013 26 0 0 1 0 0 0.0384615384615385 1999 8 2 11 NA -3.2188758248682 NA 14 NA NA 0.961538461538461
"54" "Vietnam" 2014 48 8 0 15 0.166666666666667 0 0.3125 1999 8 2 11 -1.6094379124341 -0.78845736036427 NA 15 NA 6.66666666666667 10.3125
"55" "Vietnam" 2015 93 51 0 55 0.548387096774194 0 0.591397849462366 1999 8 2 11 0.194156014440957 0.369747025506085 NA 16 NA 23.0322580645161 22.4731182795699
"56" "Vietnam" 2016 75 56 0 57 0.746666666666667 0 0.76 1999 8 2 11 1.08091271156871 1.15267950993839 NA 17 NA 14.1866666666667 13.68
"57" "Vietnam" 2017 512 320 1 328 0.625 0.001953125 0.640625 1999 8 2 11 0.510825623765991 0.578077850775158 -6.2363695902037 18 NA 120 117.875
"58" "Vietnam" 2018 393 321 0 322 0.816793893129771 0 0.819338422391858 1999 8 2 11 1.49477500411396 1.51187166850309 NA 19 NA 58.8091603053435 58.1730279898219
"59" "Vietnam" 2008 2 0 0 0 0 0 0 1999 8 2 11 NA NA NA 9 NA NA NA
"60" "Vietnam" 2003 34 0 0 0 0 0 0 1999 8 2 11 NA NA NA 4 NA NA NA
"61" "Vietnam" 2006 22 0 0 0 0 0 0 1999 8 2 11 NA NA NA 7 NA NA NA
"62" "Vietnam" 2007 16 0 0 0 0 0 0 1999 8 2 11 NA NA NA 8 NA NA NA
