"District" "year" "n" "comb" "nobs" "med" "lrsmed" "min_year" "adj_year" "wt_med"
"38" "Kaabong" 2018 34 5 5 0.147058823529412 -1.75785791755237 2018 0 4.26470588235294
"39" "Kaabong" 2019 46 10 5 0.217391304347826 -1.28093384546206 2018 1 7.82608695652174
"40" "Kaabong" 2020 75 26 5 0.346666666666667 -0.633723760089145 2018 2 16.9866666666667
"41" "Kaabong" 2021 60 20 5 0.333333333333333 -0.693147180559945 2018 3 13.3333333333333
"42" "Kaabong" 2022 68 14 5 0.205882352941176 -1.34992671694902 2018 4 11.1176470588235
"43" "Kanungu" 2016 37 0 4 0 NA 2018 -2 NA
"44" "Kanungu" 2017 48 0 4 0 NA 2018 -1 NA
"45" "Kanungu" 2018 38 1 4 0.0263157894736842 -3.61091791264422 2018 0 0.973684210526316
"46" "Kanungu" 2019 64 0 4 0 NA 2018 1 NA
"47" "Kanungu" 2020 94 6 4 0.0638297872340425 -2.68557734525015 2018 2 5.61702127659575
"48" "Kanungu" 2021 50 5 4 0.1 -2.19722457733622 2018 3 4.5
"49" "Kanungu" 2022 65 18 4 0.276923076923077 -0.959775843813894 2018 4 13.0153846153846
"50" "Kapchorwa" 2016 0 0 2 NA NA 2021 -5 NA
"51" "Kapchorwa" 2017 0 0 2 NA NA 2021 -4 NA
"52" "Kapchorwa" 2018 0 0 2 NA NA 2021 -3 NA
"53" "Kapchorwa" 2019 16 0 2 0 NA 2021 -2 NA
"54" "Kapchorwa" 2020 0 0 2 NA NA 2021 -1 NA
"55" "Kapchorwa" 2021 77 4 2 0.051948051948052 -2.9041650800285 2021 0 NA
"56" "Kapchorwa" 2022 30 10 2 0.333333333333333 -0.693147180559945 2021 1 NA
"57" "Kasese" 2016 0 0 4 NA NA 2019 -3 NA
"58" "Kasese" 2017 0 0 4 NA NA 2019 -2 NA
"59" "Kasese" 2018 24 0 4 0 NA 2019 -1 NA
"60" "Kasese" 2019 64 2 4 0.03125 -3.43398720448515 2019 0 1.9375
"61" "Kasese" 2020 92 2 4 0.0217391304347826 -3.80666248977032 2019 1 1.95652173913044
"62" "Kasese" 2021 78 11 4 0.141025641025641 -1.8067973465926 2019 2 9.44871794871795
"63" "Kasese" 2022 92 25 4 0.271739130434783 -0.985816794522765 2019 3 18.2065217391304
"64" "Katakwi" 2016 0 0 5 NA NA 2018 -2 NA
"65" "Katakwi" 2017 0 0 5 NA NA 2018 -1 NA
"66" "Katakwi" 2018 45 3 5 0.0666666666666667 -2.63905732961526 2018 0 2.8
"67" "Katakwi" 2019 61 9 5 0.147540983606557 -1.75401914124521 2018 1 7.67213114754098
"68" "Katakwi" 2020 88 20 5 0.227272727272727 -1.22377543162212 2018 2 15.4545454545455
"69" "Katakwi" 2021 58 13 5 0.224137931034483 -1.24171313230878 2018 3 10.0862068965517
"70" "Katakwi" 2022 78 31 5 0.397435897435897 -0.416160397224913 2018 4 18.6794871794872
"71" "Koboko" 2016 0 0 3 NA NA 2020 -4 NA
"72" "Koboko" 2017 0 0 3 NA NA 2020 -3 NA
"73" "Koboko" 2018 34 0 3 0 NA 2020 -2 NA
"74" "Koboko" 2019 5 0 3 0 NA 2020 -1 NA
"75" "Koboko" 2020 64 7 3 0.109375 -2.09714111877924 2020 0 6.234375
"76" "Koboko" 2021 47 6 3 0.127659574468085 -1.92181259747625 2020 1 5.23404255319149
"77" "Koboko" 2022 48 7 3 0.145833333333333 -1.76766191764899 2020 2 5.97916666666667
"78" "Kole" 2016 26 1 7 0.0384615384615385 -3.2188758248682 2016 0 0.961538461538461
"79" "Kole" 2017 47 2 7 0.0425531914893617 -3.11351530921037 2016 1 1.91489361702128
"80" "Kole" 2018 36 1 7 0.0277777777777778 -3.55534806148941 2016 2 0.972222222222222
"81" "Kole" 2019 60 5 7 0.0833333333333333 -2.39789527279837 2016 3 4.58333333333333
"82" "Kole" 2020 86 19 7 0.22093023255814 -1.26025364022453 2016 4 14.8023255813953
"83" "Kole" 2021 58 2 7 0.0344827586206897 -3.3322045101752 2016 5 1.93103448275862
"84" "Kole" 2022 78 15 7 0.192307692307692 -1.43508452528932 2016 6 12.1153846153846
"85" "Lamwo" 2016 37 5 7 0.135135135135135 -1.85629799036563 2016 0 4.32432432432432
"86" "Lamwo" 2017 44 8 7 0.181818181818182 -1.50407739677627 2016 1 6.54545454545454
"87" "Lamwo" 2018 36 9 7 0.25 -1.09861228866811 2016 2 6.75
"88" "Lamwo" 2019 50 11 7 0.22 -1.26566637333128 2016 3 8.58
"89" "Lamwo" 2020 84 39 7 0.464285714285714 -0.143100843640673 2016 4 20.8928571428571
"90" "Lamwo" 2021 58 30 7 0.517241379310345 0.0689928714869516 2016 5 14.4827586206897
"91" "Lamwo" 2022 53 18 7 0.339622641509434 -0.664976303593249 2016 6 11.8867924528302
"92" "Mubende" 2016 28 0 5 0 NA 2017 -1 NA
"93" "Mubende" 2017 46 1 5 0.0217391304347826 -3.80666248977032 2017 0 0.978260869565218
"94" "Mubende" 2018 41 4 5 0.0975609756097561 -2.22462355152433 2017 1 3.60975609756098
"95" "Mubende" 2019 24 0 5 0 NA 2017 2 NA
"96" "Mubende" 2020 88 10 5 0.113636363636364 -2.05412373369555 2017 3 8.86363636363637
"97" "Mubende" 2021 19 1 5 0.0526315789473684 -2.89037175789616 2017 4 0.947368421052631
"98" "Mubende" 2022 53 12 5 0.226415094339623 -1.22866541691631 2017 5 9.28301886792453
"99" "Rukiga" 2016 42 8 5 0.19047619047619 -1.44691898293633 2016 0 6.47619047619047
"100" "Rukiga" 2017 0 0 5 NA NA 2016 1 NA
"101" "Rukiga" 2018 0 0 5 NA NA 2016 2 NA
"102" "Rukiga" 2019 26 1 5 0.0384615384615385 -3.2188758248682 2016 3 0.961538461538461
"103" "Rukiga" 2020 39 12 5 0.307692307692308 -0.810930216216329 2016 4 8.30769230769231
"104" "Rukiga" 2021 83 50 5 0.602409638554217 0.415515443961666 2016 5 19.8795180722892
"105" "Rukiga" 2022 60 41 5 0.683333333333333 0.769133087537867 2016 6 12.9833333333333
"106" "Tororo" 2016 37 1 4 0.027027027027027 -3.58351893845611 2016 0 0.972972972972973
"107" "Tororo" 2017 48 2 4 0.0416666666666667 -3.13549421592915 2016 1 1.91666666666667
"108" "Tororo" 2018 43 0 4 0 NA 2016 2 NA
"109" "Tororo" 2019 73 0 4 0 NA 2016 3 NA
"110" "Tororo" 2020 41 0 4 0 NA 2016 4 NA
"111" "Tororo" 2021 74 6 4 0.0810810810810811 -2.42774823594805 2016 5 5.51351351351351
"112" "Tororo" 2022 57 15 4 0.263157894736842 -1.02961941718116 2016 6 11.0526315789474
